gender,Area,type,ctc,math_score,verbal,logical
female,North,Development,5.0,82,67,61
female,South,Development,5.0,62,64,55
male,North,Development,5.5,97,97,96
female,North,Development,6.0,75,68,65
female,East,Development,4.8,65,79,81
male,South,Development,5.0,52,49,46
female,South,Development,5.0,87,73,72
female,South,Development,5.0,53,62,53
female,South,Development,5.15,81,86,87
male,West,Development,4.8,39,42,38
female,North,Development,5.0,71,71,80
female,South,Development,6.0,97,93,91
male,North,Development,5.6,82,82,88
female,North,Development,5.0,59,53,52
male,South,Development,6.0,61,42,41
female,South,Development,6.0,78,74,72
male,North,Development,5.0,49,51,51
female,North,Development,6.0,59,58,47
male,South,Development,5.0,70,72,76
female,North,Development,5.0,82,84,78
female,South,Development,5.0,90,90,82
male,North,Development,6.0,43,62,61
female,South,Development,6.0,80,64,66
male,North,Development,5.0,81,82,84
female,South,Development,5.5,57,61,54
male,South,Development,6.0,59,72,80
male,South,Development,6.0,64,76,74
male,South,Development,6.0,63,64,66
female,South,Development,5.5,71,70,70
male,North,Development,6.0,64,73,71
male,South,Development,6.0,55,46,44
female,South,Development,4.8,51,51,54
female,South,Development,5.0,62,76,80
male,South,Development,6.0,93,100,95
male,West,Development,6.0,54,72,59
female,South,Development,6.0,69,65,74
male,South,Development,6.0,44,51,48
female,South,Development,5.5,86,85,91
male,South,Development,5.5,85,92,85
male,South,Development,5.0,50,67,73
female,South,Development,6.0,88,74,75
female,South,Development,5.0,59,62,69
male,South,Development,6.0,32,34,38
female,South,Development,6.0,36,29,27
male,South,Development,5.5,63,78,79
male,South,Development,6.0,67,54,63
male,West,Development,6.0,65,78,82
male,South,Development,5.0,85,84,89
male,South,Development,6.0,73,78,74
male,South,Development,6.0,34,48,41
male,North,Development,6.0,93,100,100
female,South,Development,6.0,67,84,84
male,South,Development,5.8,88,77,77
male,South,Development,6.0,57,48,51
female,West,Development,5.7,79,84,91
male,South,Development,6.0,67,75,72
male,South,Development,5.0,70,64,70
male,South,Development,5.0,50,42,48
female,South,Development,6.0,69,84,82
female,South,Development,5.0,52,61,66
male,East,Development,5.0,47,62,66
female,North,Development,5.0,46,61,55
female,South,Development,6.0,68,70,66
male,South,Development,5.5,100,100,100
female,North,Development,5.25,44,61,52
female,South,Development,5.0,57,77,80
female,South,Development,6.0,91,96,91
male,South,Development,5.0,69,70,67
female,North,Development,5.5,35,53,46
male,South,Development,5.0,72,66,66
female,South,Development,4.8,54,65,65
female,South,Development,5.0,74,70,69
female,East,Development,5.0,74,64,60
male,East,Development,6.0,64,56,52
female,South,Development,5.0,65,61,71
female,South,Development,5.0,46,43,44
male,North,Development,6.0,48,56,51
female,North,Development,6.0,67,74,70
male,North,Development,5.0,62,57,62
female,North,Development,4.8,61,71,73
male,North,Development,6.0,70,75,74
female,North,Development,6.0,98,87,90
female,North,Development,5.0,70,63,58
female,North,Development,5.0,67,57,53
female,North,Development,5.5,57,58,57
male,North,Development,4.8,85,81,85
male,North,Development,4.8,77,68,69
female,East,Development,5.0,72,66,72
female,East,Development,5.0,78,91,96
male,West,Development,5.0,81,66,64
male,West,Development,5.0,61,62,61
female,North,Development,5.5,58,68,61
female,North,Development,5.5,54,61,58
female,North,Development,5.0,82,82,80
female,North,Development,5.0,49,58,60
female,North,Development,6.0,49,50,52
male,South,Development,5.0,57,75,73
female,North,Development,6.0,94,73,71
female,North,Development,5.0,75,77,83
male,South,Development,6.0,74,74,72
male,South,Development,5.0,58,52,54
female,South,Development,6.0,62,69,69
male,North,Development,5.0,72,57,62
female,South,Development,6.0,84,87,81
male,West,Development,5.0,92,100,100
male,South,Development,4.8,45,63,59
male,North,Development,5.0,75,81,71
female,North,Development,4.8,56,58,64
male,South,Development,5.8,48,54,53
female,West,Development,6.0,100,100,100
male,West,Development,5.0,65,76,75
male,West,Development,5.0,72,57,58
male,North,Development,6.0,62,70,72
male,East,Development,5.5,66,68,64
male,North,Development,6.0,63,63,60
male,East,Development,6.0,68,76,67
male,South,Development,5.0,75,84,80
female,South,Development,5.0,89,100,100
male,South,Development,5.0,78,72,69
male,South,Development,6.0,53,50,60
male,South,Development,5.4,49,65,61
female,North,Development,5.0,54,63,67
male,North,Development,5.55,64,82,77
male,South,Development,5.5,60,62,60
female,North,Development,5.6,62,65,58
female,North,Development,5.0,55,41,48
male,North,Development,6.0,91,95,94
female,West,Development,5.0,72,68,79
male,North,Development,6.0,88,72,81
female,North,Development,5.4,56,61,60
male,South,Development,5.5,78,72,75
female,North,Development,6.0,92,89,90
female,West,Development,6.0,50,55,58
male,North,Development,6.0,65,78,72
female,South,Development,5.0,71,66,69
male,North,Development,5.0,68,65,67
male,North,Development,5.0,56,47,51
female,South,Development,5.0,83,91,80
female,West,Development,5.2,60,55,64
male,North,Development,5.0,73,78,80
female,North,Development,5.7,59,61,56
female,North,Development,5.5,88,75,81
female,North,Development,5.5,48,52,47
female,North,Development,5.3,74,76,79
male,South,Development,5.0,55,66,61
female,West,Development,5.1,81,85,83
male,North,Development,5.6,69,72,76
male,West,Development,5.25,58,55,57
female,North,Development,6.0,66,70,72
female,North,Development,5.0,90,83,88
female,West,Development,5.5,53,59,55
male,West,Development,5.0,72,74,75
female,South,Development,6.0,61,69,68
female,North,Development,5.5,65,60,58
female,North,Development,5.1,77,70,74
female,South,Development,5.0,64,68,65
male,North,Development,5.5,79,83,81
male,South,Development,5.0,55,52,51
male,North,Development,5.1,80,87,82
female,North,Development,6.0,63,68,60
female,West,Development,6.0,54,55,57
male,North,Development,5.6,69,72,75
male,North,Development,5.4,85,88,84
female,North,Development,5.5,71,70,73
female,North,Development,5.3,60,62,65
male,North,Development,5.0,70,65,63
female,North,Development,5.0,77,70,74
male,North,Development,6.0,58,59,64
female,North,Development,4.8,55,54,53
female,North,Development,6.0,92,89,91
male,North,Development,5.0,65,64,68
female,North,Development,4.8,74,77,79
female,North,Development,5.0,63,66,62
female,North,Development,4.8,59,60,62
male,West,Development,5.0,75,72,74
female,North,Development,5.0,88,85,90
male,North,Development,5.0,52,51,50
female,North,Development,6.0,71,75,79
female,South,Development,5.3,76,80,78
female,South,Development,5.7,65,67,64
male,West,Development,5.0,60,65,61
female,West,Development,4.8,80,82,78
male,North,Development,5.0,75,74,76
female,South,Development,5.0,64,63,65
female,North,Development,4.95,88,90,89
female,West,Development,5.4,67,71,66
female,North,Development,5.0,72,70,73
male,North,Development,5.9,50,48,52
male,West,Development,5.0,69,65,68
male,North,Development,5.95,77,79,81
female,North,Development,5.5,62,61,64
female,North,Development,5.0,59,58,55
female,North,Development,5.0,85,84,89
male,South,Development,5.3,60,63,61
male,North,Development,5.0,56,55,54
female,North,Development,5.0,76,78,72
female,North,Development,5.5,54,59,53
male,North,Development,5.1,71,73,74
female,North,Development,5.0,83,88,80
male,North,Development,6.0,63,66,62
female,North,Development,5.0,55,57,58
female,North,Development,6.0,85,86,83
female,North,Development,6.0,70,75,72
male,North,Development,5.0,63,64,66
male,North,Development,6.0,72,76,71
male,North,Development,5.0,65,67,64
male,North,Development,5.0,82,85,84
male,North,Development,4.8,59,61,60
female,West,Development,5.0,73,72,70
female,West,Development,6.0,54,56,59
female,North,Development,5.75,80,81,78
male,North,Development,5.3,72,74,69
male,North,Development,5.0,59,61,60
female,West,Development,6.0,68,65,64
male,North,Development,5.4,67,70,69
male,North,Development,5.5,75,76,78
male,North,Development,6.0,53,52,54
female,North,Development,5.8,62,64,61
female,North,Development,6.0,69,70,71
male,North,Development,5.0,66,69,70
male,North,Development,5.0,80,82,79
female,West,Development,6.0,58,59,56
male,North,Development,4.95,72,73,71
female,North,Development,5.1,59,60,62
female,North,Development,5.6,77,74,78
male,North,Development,4.8,80,79,81
female,North,Development,5.5,65,67,62
male,North,Development,5.0,75,79,78
male,North,Development,5.2,61,64,66
male,West,Development,5.4,78,81,82
male,West,Development,5.0,66,67,63
male,West,Development,5.0,71,72,70
female,North,Development,5.0,68,65,64
female,North,Development,6.0,72,75,76
female,North,Development,5.5,82,83,84
male,North,Development,5.0,58,60,59
male,North,Development,5.0,66,65,62
male,North,Development,5.4,62,63,64
male,North,Development,5.0,80,77,81
female,South,Development,5.5,75,76,78
female,North,Support,5.2,72,73,75
female,North,Development,5.2,77,79,80
female,North,Development,5.0,64,82,77
female,North,Development,5.5,60,62,60
female,North,Development,5.0,62,65,58
male,North,Development,6.0,55,41,48
male,North,Development,5.5,91,95,94
male,North,Development,6.0,8,24,23
female,North,Development,6.0,81,78,78
male,North,Development,5.0,79,85,86
male,North,Development,5.0,78,87,91
female,North,Development,5.5,85,87,82
female,North,Development,5.0,59,60,62
female,North,Development,5.5,66,68,65
male,North,Development,6.0,72,74,73
male,North,Development,5.7,75,79,80
female,North,Development,6.0,68,70,71
male,West,Development,5.0,79,81,82
male,North,Development,5.5,60,58,59
female,South,Development,4.8,85,83,81
female,North,Development,5.0,74,75,72
male,West,Development,5.0,76,77,78
female,South,Development,6.0,67,68,66
female,West,Development,5.0,68,69,70
female,South,Development,5.0,72,71,70
male,South,Development,5.0,72,72,74
male,North,Development,5.0,69,90,88
female,North,Development,5.6,90,95,93
female,North,Development,5.0,47,57,44
male,South,Development,5.0,76,78,75
female,North,Development,6.0,71,83,78
female,North,Development,5.4,88,95,92
female,North,Development,4.8,40,43,39
female,North,Development,5.0,64,64,67
female,North,Development,5.5,38,60,50
male,North,Development,5.0,58,54,52
female,North,Development,6.0,40,52,43
male,North,Development,6.0,65,81,73
male,North,Development,6.0,78,72,70
female,South,Development,6.0,50,53,58
male,North,Development,5.75,69,75,78
male,South,Development,5.0,88,89,86
male,North,Development,5.1,18,32,28
female,North,Development,5.5,46,42,46
male,West,Development,5.0,54,58,61
male,North,Development,5.1,66,69,63
male,North,Development,5.0,65,75,70
female,West,Development,6.0,44,54,53
male,South,Development,6.0,69,73,73
male,South,Development,5.5,74,71,80
male,South,Development,5.5,73,74,72
male,South,Development,6.0,69,54,55
female,South,Development,4.8,67,69,75
male,South,Development,6.0,70,70,65
female,North,Development,5.0,62,70,75
female,West,Development,5.5,55,70,99
female,West,Development,5.0,78,87,91
male,South,Development,6.0,74,75,82
male,North,Development,4.8,57,51,54
female,South,Development,5.0,40,59,51
male,North,Development,4.8,81,75,76
male,North,Development,5.0,44,45,45
female,South,Development,4.8,67,86,83
male,South,Development,6.0,86,81,75
male,South,Development,4.8,65,82,78
male,North,Development,5.5,55,76,76
female,East,Development,5.0,62,72,74
male,North,Development,6.0,63,63,62
male,West,Development,6.0,88,99,95
female,North,Development,6.0,62,55,55
female,North,Development,5.4,59,71,65
male,North,Development,6.0,68,78,77
female,North,Development,5.5,77,86,86
male,West,Development,5.6,69,74,74
male,North,Development,6.0,63,65,61
female,South,Development,5.0,56,72,65
male,North,Development,5.4,40,42,38
male,South,Development,6.0,97,87,82
female,South,Development,5.5,81,81,79
female,South,Development,0.0,74,81,83
male,North,Development,0.0,50,64,59
female,West,Development,0.0,75,90,88
female,South,Development,0.0,57,56,57
female,South,Development,0.0,55,61,54
male,South,Development,0.0,58,73,68
male,West,Development,0.0,53,58,65
female,North,Development,0.0,59,65,66
female,North,Development,0.0,50,56,54
female,South,Development,0.0,65,54,57
female,North,Development,0.0,55,65,62
female,North,Development,0.0,66,71,76
female,South,Development,0.0,57,74,76
female,North,Development,0.0,82,84,82
female,North,Development,0.0,53,55,48
male,South,Development,0.0,77,69,68
female,West,Development,0.0,53,44,42
female,North,Development,0.0,88,78,75
female,South,Development,0.0,71,84,87
male,South,Development,0.0,33,41,43
male,South,Development,0.0,82,85,86
male,North,Development,0.0,52,55,49
male,South,Development,0.0,58,59,58
male,South,Development,0.0,0,17,10
female,North,Development,0.0,79,74,72
female,North,Development,0.0,39,39,34
male,South,Development,0.0,62,61,55
female,South,Development,0.0,69,80,71
male,South,Development,0.0,59,58,59
female,South,Development,0.0,67,64,61
male,South,Development,0.0,45,37,37
male,North,Development,0.0,60,72,74
male,South,Development,0.0,61,58,56
female,North,Development,0.0,39,64,57
female,North,Development,0.0,58,63,73
female,North,Development,0.0,63,55,63
female,East,Development,0.0,41,51,48
male,South,Development,0.0,61,57,56
female,South,Development,0.0,49,49,41
male,North,Development,0.0,44,41,38
male,West,Development,0.0,30,26,22
male,South,Development,0.0,80,78,81
male,South,Development,0.0,61,74,72
female,East,Development,0.0,62,68,68
female,South,Development,0.0,47,49,50
male,South,Development,0.0,49,45,45
male,North,Development,0.0,50,47,54
female,South,Development,0.0,72,64,63
male,South,Development,0.0,42,39,34
male,South,Development,0.0,73,80,82
male,South,Development,0.0,76,83,88
female,South,Development,0.0,71,71,74
female,South,Development,0.0,58,70,67
male,South,Development,0.0,73,86,82
male,North,Development,0.0,65,72,74
female,South,Development,0.0,27,34,36
male,South,Development,0.0,71,79,71
female,North,Development,0.0,43,45,50
male,South,Development,0.0,79,86,92
female,South,Development,0.0,78,81,82
female,South,Development,0.0,65,66,62
female,South,Development,0.0,63,72,70
male,South,Development,0.0,58,67,62
male,South,Development,0.0,65,67,62
female,North,Development,0.0,79,67,67
male,South,Development,0.0,68,74,74
male,South,Development,0.0,85,91,89
female,North,Development,0.0,60,44,47
male,West,Development,0.0,98,86,90
male,North,Development,0.0,58,67,72
male,South,Development,0.0,87,100,100
male,South,Development,0.0,66,63,64
female,North,Development,0.0,52,76,70
male,South,Development,0.0,70,64,72
male,West,Development,0.0,77,89,98
male,South,Development,0.0,62,55,49
female,South,Development,0.0,54,53,47
female,South,Development,0.0,51,58,54
male,South,Development,0.0,99,100,100
male,South,Development,0.0,84,77,74
male,North,Development,0.0,75,85,82
male,South,Development,0.0,78,82,79
female,North,Development,0.0,51,63,61
female,South,Development,0.0,55,69,65
male,South,Development,0.0,79,92,89
male,South,Development,0.0,91,89,92
female,North,Development,0.0,88,93,93
female,South,Development,0.0,63,57,56
male,South,Development,0.0,83,80,73
male,North,Development,0.0,87,95,86
female,South,Development,0.0,72,68,67
female,South,Development,0.0,65,77,74
male,South,Development,0.0,82,82,74
female,North,Development,0.0,51,49,51
female,West,Development,0.0,89,84,82
female,South,Development,0.0,53,37,40
male,South,Development,0.0,87,74,70
female,South,Development,0.0,75,81,84
female,North,Development,0.0,74,79,75
male,South,Development,0.0,58,55,48
male,East,Development,0.0,51,54,41
female,North,Development,0.0,70,55,56
female,South,Development,0.0,59,66,67
female,South,Development,0.0,71,61,69
female,North,Development,0.0,76,72,71
male,South,Development,0.0,59,62,64
male,East,Development,0.0,42,55,54
female,South,Development,0.0,57,43,47
female,North,Development,0.0,88,73,78
male,South,Development,0.0,22,39,33
male,South,Development,0.0,88,84,75
female,South,Development,0.0,73,68,66
female,North,Development,0.0,68,75,81
female,South,Development,0.0,100,100,93
male,West,Development,0.0,62,67,69
male,North,Development,0.0,77,67,68
male,North,Development,0.0,59,70,66
female,South,Development,0.0,54,49,47
female,North,Development,0.0,62,67,61
female,South,Development,0.0,70,89,88
male,South,Development,0.0,66,74,78
male,South,Development,0.0,60,60,60
female,North,Development,0.0,61,86,87
male,South,Development,0.0,66,62,64
male,North,Development,0.0,82,78,74
male,North,Development,0.0,75,88,85
male,South,Development,0.0,49,53,52
male,South,Development,0.0,52,53,49
female,South,Development,0.0,81,92,91
male,South,Development,0.0,96,100,100
male,South,Development,0.0,53,51,51
male,East,Development,0.0,58,76,78
male,South,Development,0.0,68,83,78
male,South,Development,0.0,67,75,70
male,West,Development,0.0,72,73,74
male,South,Development,0.0,94,88,78
male,South,Development,0.0,79,86,81
female,North,Development,0.0,63,67,70
male,South,Development,0.0,43,51,54
female,South,Development,0.0,81,91,87
male,South,Development,0.0,46,54,58
male,North,Development,0.0,71,77,77
male,South,Development,0.0,52,70,62
female,South,Development,0.0,97,100,100
female,West,Development,0.0,62,68,75
female,South,Development,0.0,46,64,66
male,North,Development,0.0,50,50,47
male,North,Development,0.0,65,69,70
female,South,Development,0.0,45,52,49
female,East,Development,0.0,65,67,65
male,West,Development,0.0,80,76,65
female,South,Development,0.0,62,66,68
male,North,Development,0.0,48,52,45
male,North,Development,0.0,77,88,87
female,North,Development,0.0,66,65,69
female,South,Development,0.0,76,83,79
female,South,Development,0.0,62,64,66
female,South,Development,0.0,77,62,62
female,East,Development,0.0,69,84,85
female,North,Development,0.0,61,55,52
female,South,Development,0.0,59,69,65
male,South,Development,0.0,55,56,51
male,South,Development,0.0,45,53,55
male,South,Development,0.0,78,79,76
female,North,Development,0.0,67,84,86
male,South,Development,0.0,65,81,77
male,South,Development,0.0,69,77,69
male,South,Development,0.0,57,69,68
male,West,Development,0.0,59,41,42
female,East,Development,0.0,74,71,78
female,South,Development,0.0,82,62,62
male,North,Development,0.0,81,80,76
male,North,Development,0.0,74,81,76
female,West,Development,0.0,58,61,66
female,West,Development,0.0,80,79,79
male,North,Development,0.0,35,28,27
female,South,Development,0.0,42,62,60
female,South,Development,0.0,60,51,56
male,South,Development,0.0,87,91,81
male,South,Development,0.0,84,83,75
female,South,Development,0.0,83,86,88
male,South,Development,0.0,34,42,39
female,North,Development,0.0,66,77,70
male,South,Development,0.0,61,56,56
male,East,Development,0.0,56,68,74
female,South,Development,0.0,87,85,73
male,South,Development,0.0,55,65,62
female,West,Development,0.0,86,80,75
female,South,Development,0.0,52,66,73
female,South,Development,0.0,45,56,54
female,South,Development,0.0,72,72,71
male,South,Development,0.0,57,50,54
female,South,Development,0.0,68,72,64
male,South,Development,0.0,88,95,94
female,South,Development,0.0,76,64,66
female,South,Development,0.0,46,43,42
male,North,Development,0.0,67,86,83
female,East,Development,0.0,92,87,78
female,West,Development,0.0,83,82,84
male,South,Development,0.0,80,75,77
male,South,Development,0.0,63,66,67
male,South,Development,0.0,64,60,74
male,South,Development,0.0,54,52,51
female,South,Development,0.0,84,80,80
female,South,Development,0.0,73,68,66
male,South,Development,0.0,80,83,83
female,North,Development,0.0,56,52,55
male,West,Development,0.0,59,51,43
female,North,Development,0.0,75,74,69
female,North,Development,0.0,85,76,71
male,East,Development,0.0,89,76,74
female,North,Development,0.0,58,70,68
female,West,Development,0.0,65,64,62
female,North,Development,0.0,68,60,53
male,West,Development,0.0,47,49,49
female,South,Development,0.0,71,83,83
male,North,Development,0.0,60,70,70
male,North,Development,0.0,80,80,72
female,South,Development,0.0,54,52,52
female,East,Development,0.0,62,73,70
female,South,Development,0.0,64,73,68
female,South,Development,0.0,78,77,77
female,South,Development,0.0,70,75,78
female,South,Development,0.0,65,81,81
male,North,Development,0.0,64,79,77
male,North,Development,0.0,79,79,78
female,South,Development,0.0,44,50,51
male,West,Development,0.0,99,93,90
male,North,Development,0.0,76,73,68
female,South,Development,0.0,59,42,41
male,North,Development,0.0,63,75,81
female,North,Development,0.0,69,72,77
female,North,Development,0.0,88,92,95
male,North,Development,0.0,71,76,70
male,North,Development,0.0,69,63,61
female,South,Development,0.0,58,49,42
male,North,Development,0.0,47,53,58
female,South,Development,0.0,65,70,71
female,North,Development,0.0,88,85,76
female,South,Development,0.0,83,78,73
female,South,Development,0.0,85,92,93
male,North,Development,0.0,59,63,75
female,North,Development,0.0,65,86,80
female,South,Development,0.0,73,56,57
male,South,Development,0.0,53,52,42
female,South,Development,0.0,45,48,46
male,North,Development,0.0,73,79,84
male,South,Development,0.0,70,78,78
male,North,Development,0.0,37,46,46
female,North,Development,0.0,81,82,82
male,South,Development,0.0,97,82,88
male,South,Development,0.0,67,89,82
male,North,Development,0.0,88,75,76
male,South,Development,0.0,77,76,77
male,South,Development,0.0,76,70,68
female,South,Development,0.0,86,73,70
female,North,Development,0.0,63,60,57
female,South,Development,0.0,65,73,75
female,North,Development,0.0,78,77,80
male,North,Development,0.0,67,62,60
female,South,Development,0.0,46,41,43
male,North,Development,0.0,71,74,68
male,South,Development,0.0,40,46,50
male,South,Development,0.0,90,87,75
male,North,Development,0.0,81,78,1
male,South,Development,0.0,56,54,52
female,West,Development,0.0,67,84,81
male,South,Development,0.0,80,76,64
female,North,Development,0.0,74,75,83
male,South,Development,0.0,69,67,69
male,East,Support,0.0,99,87,81
male,South,Development,0.0,51,52,44
male,West,Development,0.0,53,71,67
male,South,Development,0.0,49,57,52
male,South,Development,0.0,73,76,80
female,North,Development,0.0,66,60,57
female,North,Development,0.0,67,61,68
female,North,Development,0.0,68,67,69
female,South,Development,0.0,59,64,75
male,South,Development,0.0,71,66,65
female,East,Development,0.0,77,82,91
male,West,Development,0.0,83,72,78
male,South,Development,0.0,63,71,69
male,North,Development,0.0,56,65,63
male,South,Development,0.0,67,79,84
female,South,Development,0.0,75,86,79
female,North,Development,0.0,71,81,80
female,South,Development,0.0,43,53,53
male,North,Development,0.0,41,46,43
female,South,Development,0.0,82,90,94
male,South,Development,0.0,61,61,62
female,North,Development,0.0,28,23,19
male,North,Development,0.0,82,75,77
female,North,Development,0.0,41,55,51
male,South,Development,0.0,71,60,61
male,South,Development,0.0,47,37,35
male,North,Development,0.0,62,56,53
female,North,Development,0.0,90,78,81
female,North,Development,0.0,83,93,95
male,North,Development,0.0,61,68,66
female,South,Development,0.0,76,70,69
female,South,Development,0.0,49,51,43
male,South,Development,0.0,24,38,27
female,South,Development,0.0,35,55,60
male,North,Development,0.0,58,61,52
female,North,Development,0.0,61,73,63
female,South,Development,0.0,69,76,74
female,North,Development,0.0,67,72,67
female,South,Development,0.0,79,73,67
female,South,Development,0.0,72,80,75
female,South,Development,0.0,62,61,57
male,South,Development,0.0,77,94,95
male,North,Development,0.0,75,74,66
female,North,Development,0.0,87,74,76
male,North,Development,0.0,52,65,69
male,West,Development,0.0,66,57,52
female,North,Development,0.0,63,78,80
male,North,Development,0.0,46,58,57
male,North,Development,0.0,59,71,70
female,North,Development,0.0,61,72,70
male,North,Development,0.0,63,61,61
male,South,Development,0.0,42,66,69
female,South,Development,0.0,59,62,61
male,North,Development,0.0,80,90,89
male,South,Development,0.0,58,62,59
female,East,Development,0.0,85,84,78
female,South,Development,0.0,52,58,58
female,West,Development,0.0,27,34,32
female,North,Development,0.0,59,60,58
female,North,Development,0.0,49,58,60
male,South,Development,0.0,69,58,53
female,South,Development,0.0,61,66,61
female,North,Development,0.0,44,64,58
female,North,Development,0.0,73,84,85
male,North,Development,0.0,84,77,71
female,North,Development,0.0,45,73,70
female,North,Development,0.0,74,74,72
male,North,Development,0.0,82,97,96
female,South,Development,0.0,59,70,73
female,South,Development,0.0,46,43,41
female,North,Development,0.0,80,90,82
male,South,Development,0.0,85,95,100
male,South,Development,0.0,71,83,77
male,South,Development,0.0,66,64,62
female,South,Development,0.0,80,86,83
male,South,Development,0.0,87,100,95
male,South,Development,0.0,79,81,71
male,North,Development,0.0,38,49,45
female,West,Development,0.0,38,43,43
female,South,Development,0.0,67,76,75
female,South,Development,0.0,64,73,70
female,South,Development,0.0,57,78,67
female,South,Development,0.0,62,64,64
female,South,Development,0.0,73,70,75
female,South,Development,0.0,73,67,59
male,South,Development,0.0,77,68,77
female,South,Development,0.0,76,67,67
male,North,Development,0.0,57,54,56
male,South,Development,0.0,65,74,77
male,South,Development,0.0,48,45,41
male,North,Development,0.0,50,67,63
male,South,Development,0.0,85,89,95
female,South,Development,0.0,74,63,57
female,West,Development,0.0,60,59,54
female,South,Development,0.0,59,54,67
female,South,Development,0.0,53,43,43
female,South,Development,0.0,49,65,55
male,South,Development,0.0,88,99,100
female,South,Development,0.0,54,59,62
male,South,Development,0.0,63,73,68
female,South,Development,0.0,65,65,63
male,South,Development,0.0,82,80,77
female,South,Development,0.0,52,57,56
male,South,Development,0.0,87,84,85
male,North,Development,0.0,70,71,74
male,South,Development,0.0,84,83,78
male,South,Development,0.0,71,66,60
female,South,Development,0.0,63,67,67
female,South,Development,0.0,51,72,79
female,South,Development,0.0,84,73,69
male,South,Development,0.0,71,74,68
female,South,Development,0.0,74,73,67
male,South,Development,0.0,68,59,62
female,South,Development,0.0,57,56,54
male,South,Development,0.0,82,93,93
male,North,Development,0.0,57,58,64
male,East,Development,0.0,47,58,67
female,South,Development,0.0,59,85,80
male,South,Development,0.0,41,39,34
male,South,Development,0.0,62,67,62
female,South,Development,0.0,86,83,86
female,South,Development,0.0,69,71,65
male,South,Development,0.0,65,59,53
female,South,Development,0.0,68,63,54
male,South,Development,0.0,64,66,59
female,South,Development,0.0,61,72,70
female,South,Development,0.0,61,56,55
male,South,Development,0.0,47,59,50
female,South,Development,0.0,73,66,66
male,South,Development,0.0,50,48,53
male,South,Development,0.0,75,68,64
female,South,Development,0.0,75,66,73
female,North,Development,0.0,70,56,51
male,South,Development,0.0,89,88,82
male,North,Development,0.0,67,81,79
male,East,Development,0.0,78,81,80
male,West,Development,0.0,59,73,69
female,West,Development,0.0,73,83,76
female,South,Development,0.0,79,82,73
female,North,Development,0.0,67,74,77
male,North,Development,0.0,69,66,60
male,South,Development,0.0,86,81,80
female,East,Development,0.0,47,46,42
female,South,Development,0.0,81,73,72
female,North,Development,0.0,64,85,85
female,North,Development,0.0,100,92,97
female,West,Development,0.0,65,77,74
female,North,Development,0.0,65,58,49
female,South,Development,0.0,53,61,62
female,South,Development,0.0,37,56,47
female,North,Development,0.0,79,89,89
female,North,Development,0.0,53,54,48
female,South,Development,0.0,100,100,100
female,North,Development,0.0,72,65,68
female,North,Development,0.0,53,58,55
male,South,Development,0.0,54,54,45
male,North,Development,0.0,71,70,76
male,North,Development,0.0,77,90,91
female,West,Development,0.0,75,58,62
female,North,Development,0.0,84,87,91
female,South,Development,0.0,26,31,38
male,South,Development,0.0,72,67,65
male,South,Development,0.0,77,88,85
female,South,Development,0.0,91,74,76
female,South,Development,0.0,83,85,90
female,North,Development,0.0,63,69,74
female,West,Development,0.0,68,86,84
female,North,Development,0.0,59,67,61
male,South,Development,0.0,90,90,91
male,South,Development,0.0,71,76,83
male,South,Development,0.0,76,62,66
female,South,Development,0.0,80,68,72
female,South,Development,0.0,55,64,70
female,North,Development,0.0,76,71,67
female,East,Development,0.0,73,71,68
male,South,Development,0.0,52,59,56
female,North,Development,0.0,68,68,61
male,North,Development,0.0,59,52,46
female,South,Development,0.0,49,52,54
female,South,Development,0.0,70,74,71
female,South,Development,0.0,61,47,56
female,North,Development,0.0,60,75,74
male,North,Development,0.0,64,53,57
male,North,Development,0.0,79,82,82
male,South,Development,0.0,65,85,76
female,North,Development,0.0,64,64,70
male,South,Development,0.0,83,83,90
male,North,Development,0.0,81,88,90
male,South,Development,0.0,54,64,68
female,South,Development,0.0,68,64,66
male,South,Development,0.0,54,48,52
male,North,Development,0.0,59,78,76
male,North,Development,0.0,66,69,68
male,South,Development,0.0,76,71,72
female,South,Development,0.0,74,79,82
male,South,Development,0.0,94,87,92
male,South,Development,0.0,63,61,54
female,North,Development,0.0,95,89,92
female,North,Development,0.0,40,59,54
male,South,Development,0.0,82,82,80
male,South,Development,0.0,68,70,66
female,South,Development,0.0,55,59,54
female,South,Development,0.0,79,78,77
male,South,Development,0.0,86,92,87
female,South,Development,0.0,76,71,73
male,South,Development,0.0,64,50,43
female,South,Development,0.0,62,49,52
female,North,Development,0.0,54,61,62
female,North,Development,0.0,77,97,94
male,North,Development,0.0,76,87,85
female,North,Development,0.0,74,89,84
female,North,Development,0.0,66,74,73
female,North,Development,0.0,66,78,78
female,South,Development,0.0,67,78,79
female,South,Development,0.0,71,49,52
male,South,Development,0.0,91,86,0
female,South,Development,0.0,69,58,57
female,South,Development,0.0,54,59,50
female,South,Development,0.0,53,52,49
female,South,Development,0.0,68,60,59
female,South,Development,0.0,56,61,60
male,South,Development,0.0,36,53,43
male,North,Development,0.0,2,41,47
female,North,Development,0.0,62,74,70
male,South,Development,0.0,68,67,73
male,South,Development,0.0,47,54,53
male,South,Development,0.0,62,61,58
female,South,Development,0.0,79,88,94
female,South,Development,0.0,73,69,68
male,South,Development,0.0,66,83,83
female,South,Development,0.0,51,60,58
female,South,Development,0.0,51,66,62
female,West,Development,0.0,85,66,71
